Unnamed: 0,number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,season,circuit,round,vehicle,flag_at_fl,team_no,lap_time_ms,lap_time_s,engine,driver_stint_no,driver_stint,team_stint_no,team_stint,elapsed_ms,position,class_position,interval_ms,interval,gap,class_interval,class_gap,elapsed_s
332256,86,1,74,0 days 00:01:43.936000,0,,22.769,0,32.167,0,49.0,0,158.0,0 days 02:20:17.276000,13:18:40.480,0 days 00:00:22.769000,0 days 00:00:32.167000,0 days 00:00:49,266.0,Michael WAINWRIGHT,,LMGTE Am,,Gulf Racing,Porsche,2018-2019,FUJI SPEEDWAY,4,Porsche 911 RSR-19,,Gulf Racing #86,103936.0,103.936,Porsche,1,Michael WAINWRIGHT Stint #1,4,Gulf Racing #86 Stint #4,8417276,25.0,1.0,75403.0,75.403,809.8050000000001,0.0,0.0,8417.276
161880,8,2,127,0 days 00:01:39.625000,0,,47.682,0,36.208,0,15.735,0,185.6,0 days 03:50:07.821000,16:49,0 days 00:00:47.682000,0 days 00:00:36.208000,0 days 00:00:15.735000,313.7,Oliver JARVIS,,LMP1,H,Audi Sport Team Joest,Audi,2015,NURBURGRING,4,Audi R18 e-tron quattro,,Audi Sport Team Joest #8,99625.0,99.625,Audi,2,Oliver JARVIS Stint #2,5,Audi Sport Team Joest #8 Stint #5,13807821,4.0,4.0,31006.0,31.006,115.846,31.006,115.846,13807.821
456701,36,1,253,0 days 00:03:35.407000,0,,33.58,0,81.924,0,99.903,0,227.7,0 days 16:57:45.640000,08:57:45.640,0 days 00:00:33.580000,0 days 00:01:21.924000,0 days 00:01:39.903000,318.2,André NEGRÃO,,HYPERCAR,,Alpine Elf Matmut,Alpine,2021,LE MANS,4,Alpine A480,,Alpine Elf Matmut #36,215407.0,215.407,Gibson,8,André NEGRÃO Stint #8,22,Alpine Elf Matmut #36 Stint #22,61065640,3.0,3.0,1026862.0,1026.862,1095.4070000000002,1026.862,1095.4070000000002,61065.64
423810,54,1,16,0 days 00:02:19.775000,0,,39.99,0,64.012,0,35.773,0,180.4,0 days 00:37:38.114000,14:07:39.682,0 days 00:00:39.990000,0 days 00:01:04.012000,0 days 00:00:35.773000,263.0,Thomas FLOHR,,LMGTE Am,,AF Corse,Ferrari,2021,SPA FRANCORCHAMPS,1,Ferrari 488 GTE Evo,,AF Corse #54,139775.0,139.775,Ferrari,1,Thomas FLOHR Stint #1,1,AF Corse #54 Stint #1,2258114,29.0,8.0,17974.0,17.974,235.302,17.974,51.331,2258.114
436233,31,1,268,0 days 00:01:39.540000,0,B,29.257,0,30.172,0,40.111,0,168.3,0 days 07:15:15.938000,18:15:33.420,0 days 00:00:29.257000,0 days 00:00:30.172000,0 days 00:00:40.111000,298.3,Robin FRIJNS,,LMP2,,Team WRT,Oreca,2021,AUTODROMO DO ALGARVE,2,Oreca 07,,Team WRT #31,99540.0,99.54,Gibson,3,Robin FRIJNS Stint #3,11,Team WRT #31 Stint #11,26115938,6.0,3.0,41709.0,41.709,415.89900000000006,41.709,51.309000000000005,26115.938
302045,91,0,34,0 days 00:03:06.537000,0,,70.836,0,72.34,0,43.361,0,135.2,0 days 01:29:11.867000,15:00:07.901,0 days 00:01:10.836000,0 days 00:01:12.340000,0 days 00:00:43.361000,123.1,Richard LIETZ,,LMGTE Pro,,Porsche GT Team,Porsche,2018-2019,SPA FRANCORCHAMPS,1,Porsche 911 RSR-19,,Porsche GT Team #91,186537.0,186.537,Porsche,1,Richard LIETZ Stint #1,2,Porsche GT Team #91 Stint #2,5351867,16.0,2.0,2676.0,2.676,574.281,2.676,2.676,5351.867
384005,95,1,9,0 days 00:01:57.892000,0,,37.506,0,43.045,0,37.341,0,165.3,0 days 00:19:35.325000,15:19:14.599,0 days 00:00:37.506000,0 days 00:00:43.045000,0 days 00:00:37.341000,256.8,Marco SØRENSEN,,LMGTE Pro,,Aston Martin Racing,Aston Martin,2019-2020,BAHRAIN INTERNATIONAL CIRCUIT 2019,4,Aston Martin Vantage GTE,,Aston Martin Racing #95,117892.0,117.892,Aston Martin,1,Marco SØRENSEN Stint #1,1,Aston Martin Racing #95 Stint #1,1175325,16.0,3.0,1126.0,1.126,69.926,1.126,2.11,1175.325
5497,28,1,205,0 days 00:01:57.676000,0,,34.854,0,40.756,0,42.066,0,184.1,0 days 08:21:14.310000,18:52,0 days 00:00:34.854000,0 days 00:00:40.756000,0 days 00:00:42.066000,256.5,Maxime Jousse,,LMP2,,Gulf Racing Middle East,Lola,2012,SEBRING,1,Lola B12/80 Coupe,,Gulf Racing Middle East #28,117676.0,117.676,Nissan,7,Maxime Jousse Stint #7,20,Gulf Racing Middle East #28 Stint #20,30074310,19.0,7.0,64714.0,64.714,2960.048,64.714,1196.665,30074.31
255444,67,0,131,0 days 00:02:19.387000,0,,39.949,0,63.562,0,35.876,0,180.9,0 days 05:17:42.463000,19:48:24.416,0 days 00:00:39.949000,0 days 00:01:03.562000,0 days 00:00:35.876000,264.9,Andy PRIAULX,,LMGTE Pro,,Ford Chip Ganassi Team UK,Ford,2017,SPA FRANCORCHAMPS,2,Ford GT,,Ford Chip Ganassi Team UK #67,139387.0,139.387,Ford,2,Andy PRIAULX Stint #2,6,Ford Chip Ganassi Team UK #67 Stint #6,19062463,21.0,4.0,47821.0,47.821,2614.484,47.821,146.535,19062.463
390218,26,3,217,0 days 00:01:51.724000,0,,35.506,0,41.183,0,35.035,0,174.4,0 days 07:00:43.790000,22:00:23.064,0 days 00:00:35.506000,0 days 00:00:41.183000,0 days 00:00:35.035000,275.7,Jean-Eric VERGNE,,LMP2,,G-Drive Racing,Aurus,2019-2020,BAHRAIN INTERNATIONAL CIRCUIT 2019,4,Aurus 01,,G-Drive Racing #26,111724.0,111.724,Gibson,3,Jean-Eric VERGNE Stint #3,9,G-Drive Racing #26 Stint #9,25243790,6.0,3.0,27134.0,27.134,954.057,27.134,59.258,25243.79
